ID,Tweet,MeaningCloud_Sentiment
2,Sephora s success shows that people still want to treat themselves during tough economic times Sephora makeup retail,N
7,My sister turns 9 tomorrow and she sending me things from Sephora to purchase,NONE
12,RT I have no Sephora cart to build because I buy myself everything I want the second I think of it,N
24,stila stay all day liner is 12 dollars today at Sephora,NONE
28,i was today years old when i realized sephora doesn t carry morphe back 2 ulta,P
29,Also one petty theft from Sephora,N
31,RT What high end cosmetics do you recommend from Sephora etc Make up skincare everything,P
39,That Sephora same day delivery really just saved me I m impressed,P
42,RT Biggest of the big L takes Home girl who buys out Sephora to put on a face is criticizing a naturally pretty girl who,N
48,Dior Forever skin glow na Sephora,NONE
55,spent 90 at sephora when i told myself i was only gonna buy my 16 toner and get my free bday gift,P
63,RT I am in sephora now and these lancome lipsticks are out of stock,NONE
64,I ve yet to go to a damn sephora or macy s or whatever fragrance halls are over in the states I wanna go scent hunting with homies,N
72,Me at one day pregnant omg the baby is craving a 500 Sephora giftcard and a venti iced blonde vanilla latte with salted caramel cold foam,N
76,Anyone else feel really unworthy when you go into sephora or ulta with a bare face or is it just me,N+
80,it is so many lippies i want to get at sephora i need my man to sponsor a trip asap lol,NONE
81,I think a Sephora trip would cure my sadness,P
83,No cause i fucking love Sephora,N
86,RT If runs a Sephora like the navy then I m saluting,NONE
87,RT percentgenx 6 shades to cover up your beard I ll stick with a brand that supports women Trash,N+
94,RT You know you have strong willpower when you go into a Sephora and leave with zero items purchased,P
98,I like long romantic walks through Sephora,P
99,Using a guy with a penis who plays a little giggling girl stereotype that women have been trying to overcome for 100 years is NOT a good way to celebrate Intl Women s Day GFY WomenHater,NEU
102,gmmm already spent ur rent at sephora today,NONE
104,RT smelled it in sephora yesterday bitch i was damn near moaning in that aisle,N+
114,if you go to sephora and say yr trans and yr still trying to figure out make up they ll make you up a gift bag full of trial size products,P
115,Im still waiting for a reply to 2nd bad experience in a row email Sephora for the 200 credit funds shouve been applied to my account yesterday 2 2,N+
116,Sephora youve done it again 3rd bad experience in a row Did pick up order theres a seperate section to pick up this Sephora says no you have to go in the regular line Ive already paid for my order Im owed a credit for this inconvenience minimum 50 1 2,N
117,i m going to paris soon which means i ll get to shop at sephora too we don t have one where i live do you guys have any recommendations for makeup products i should try,P
118,RT Girl let me add these items to my Sephora cart right now Karen s videos always make me spend coin,NONE
122,do you want to go to sephora no i heard sephora was bad now what do you mean i saw on tiktok that they re bad we can t shop there real conversation in food court,N
