ID,Tweet
2,Sephora s success shows that people still want to treat themselves during tough economic times Sephora makeup retail
7,My sister turns 9 tomorrow and she sending me things from Sephora to purchase
12,RT I have no Sephora cart to build because I buy myself everything I want the second I think of it
24,stila stay all day liner is 12 dollars today at Sephora
28,i was today years old when i realized sephora doesn t carry morphe back 2 ulta
29,Also one petty theft from Sephora
31,RT What high end cosmetics do you recommend from Sephora etc Make up skincare everything
39,That Sephora same day delivery really just saved me I m impressed
42,RT Biggest of the big L takes Home girl who buys out Sephora to put on a face is criticizing a naturally pretty girl who
48,Dior Forever skin glow na Sephora
55,spent 90 at sephora when i told myself i was only gonna buy my 16 toner and get my free bday gift
63,RT I am in sephora now and these lancome lipsticks are out of stock
64,I ve yet to go to a damn sephora or macy s or whatever fragrance halls are over in the states I wanna go scent hunting with homies
72,Me at one day pregnant omg the baby is craving a 500 Sephora giftcard and a venti iced blonde vanilla latte with salted caramel cold foam
76,Anyone else feel really unworthy when you go into sephora or ulta with a bare face or is it just me
80,it is so many lippies i want to get at sephora i need my man to sponsor a trip asap lol
81,I think a Sephora trip would cure my sadness
83,No cause i fucking love Sephora
86,RT If runs a Sephora like the navy then I m saluting
87,RT percentgenx 6 shades to cover up your beard I ll stick with a brand that supports women Trash
94,RT You know you have strong willpower when you go into a Sephora and leave with zero items purchased
98,I like long romantic walks through Sephora
99,Using a guy with a penis who plays a little giggling girl stereotype that women have been trying to overcome for 100 years is NOT a good way to celebrate Intl Women s Day GFY WomenHater
102,gmmm already spent ur rent at sephora today
104,RT smelled it in sephora yesterday bitch i was damn near moaning in that aisle
114,if you go to sephora and say yr trans and yr still trying to figure out make up they ll make you up a gift bag full of trial size products
115,Im still waiting for a reply to 2nd bad experience in a row email Sephora for the 200 credit funds shouve been applied to my account yesterday 2 2
116,Sephora youve done it again 3rd bad experience in a row Did pick up order theres a seperate section to pick up this Sephora says no you have to go in the regular line Ive already paid for my order Im owed a credit for this inconvenience minimum 50 1 2
117,i m going to paris soon which means i ll get to shop at sephora too we don t have one where i live do you guys have any recommendations for makeup products i should try
118,RT Girl let me add these items to my Sephora cart right now Karen s videos always make me spend coin
122,do you want to go to sephora no i heard sephora was bad now what do you mean i saw on tiktok that they re bad we can t shop there real conversation in food court
123,The Sephora kids are real go in to grab a few things and it s a zoo of 10 12 year olds Don t think I m ever going back after that experience tbh good lord
166,RT The Sephora Beauty Event is happening now gt gt lt lt SAVE 50 off Top Beauty Brands each
168,RT Homies with discoloration darkness on your pits ass and inner thighs glycolic acid is the hero that will save the day I
173,sephora sample sponges
174,I made an Ulta order on the 1st shit still not coming until tomorrow never again I will only shop in store cause Sephora would never
175,i have sm stuff in my sephora cart
176,RT when I was a Sephora girl I cashed out on Lanc me MUFE etc etc but pls believe this face will be beat w this dru
178,Surprisingly after this they were both delivered now I ll just wait for the refund hopefully not too much longer Thanks
202,ima have to order the one size setting spray online cause every time I go to Sephora they re sold out
205,I really wish Sephora stop having sales
211,RT Kohl s will begin bringing Babies R Us shop in shops to its stores in August The struggling department store is increasin
222,As children and young teenagers increasingly adopt the glamorous skin care routines of social media influencers in the so called Sephora kids trend dermatologists are raising red flags about the potential harm
224,can wait to go to the mall and get everything I want at Sephora
233,Sephora is the brand of black amp white minstrels and Lady Gaga s shill for men s fetish rights Avoid
234,Sephora the brand of black and white minstrels and plugging men s fetish rights on IWD
236,katherine It s just marketing Boycott Sephora
238,THIS especially with how 9 12 year olds are trying to dress like late teens young adults like Don t get mad at us that the Sephora kids are shopping in junior sections instead of kids sections now
239,RT 25 Sephora France omg beautiful
241,I just want to go to Target IKEA and Sephora And I ll be in the best mood That s all
247,I just wanna go to Sephora amp shopping for the boys
250,The market for baby products is huge Considering the success of its past partnership with Sephora this move is a step closer to establish Khol s as a go to brand for families
253,RT Sephora France omgg i love this can t wait to be in Paris
256,getting my sephora package delivered before my exam made me feel 10x better
262,RT PhD Hybrid Lip Glaze by the numbers Our expert team of product developers spent countless hours formulating our innovation
263,RT When you lose an hour from DaylightSavings but still have time for WaysToGlaze Burn free plumping PhD Hybrid Lip Glaze
271,Tweens are psyched about skincare But their approach is concerning WrinkleTreatment Medical Psoriasis Rosacea SkinCare Video Scores of recent TikTok and Instagram videos have documented the so called tween invasion of Sephora and Ulta
272,RT Move over fidget spinners and slime there s a new hobby that has some of societies youngest consumers Obsessed skincare
274,Def gotta go to Sephora tm
275,the Sephora girls are worse idk what to tell you
280,RT Am I the only one waiting for Soft Glam to come to sephora so I can swatch it
284,You have to get the extra strength one Only sold at Sephora
290,RT Take me to Sephora
291,Eid is so soon but im gonna spend half of my money on sephora how am i gonna get BOOTHILL AND ROBIN
304,RT Ombudsman amp each of these experiences u wasted my time AND STILL U ARENT INC
306,Ombudsman amp each of these experiences u wasted my time AND STILL U ARENT INCLUSIVE YOU STILL HAVE NO ROOM FOR A WALKER TO GET THROUGH YOUR AISLES AND CASH WRAPS
307,RT Ombudsman as previously stated I will take my apology in the form if
308,Ombudsman as previously stated I will take my apology in the form if credit for each of horrible client experiences from your company online in store in multiple stores You were wrong in all of these instances im owed compensation for each of these times you were wrong
321,if sephora loves me they ll put the danessa myricks water powder serum on sale in april as well
322,i missed the nars pot concealer being 50 off on the ulta sale but trust i ll be getting it when sephora does their sale in april
328,Absolutely Can t wait to explore these must have neutral shades at Ulta Beauty and Sephora
332,after my lash appointment tomorrow i think ima just treat my self to some sephora i had a long week already
345,RT I have a virtual shopping cart for Sephora and Ikea ready to go if anybody wants to make my day I would truly appreciat
358,FYI You Can Use FSA Or HSA Money At Sephora Here Are 15 Of The Best Things To Buy
359,hen Yeah you have a point there At least I could go straight to Sephora and get a refund
374,Thank you for your commitment to women all around the world It is an honor to serve on your advisory board
376,RT My Brow Harmony Shape amp Fill Duo is officially here Y all know I love a good full brow so I wanted to make
380,the sephora was convenient when i used to live in fidi they need better stores in there though thats it
381,RT Well this is a real eye opener by is dropping the new Perfect Strokes Universal Volumizing Mascara
382,People saying Ulta vs Sephora employees I ve had good amp bad at Ulta but Sephora I can t think of a bad Ulta I got 2 lipsticks there was a free gift but the girl couldn t find it in the back so I got a full sized makeup palette for free amp they were so nice about it So its 50 50
388,Ombudsman sephora has given me 3 horrible client experiences in a row amp not taking accountability to provide credits for EACH of these times your apology needs to be as loud as your disrespect was I will take your apology in the form of a credit to my account for minimum 400
397,idk what i need but target and sephora is calling my name
399,If you didn t order it from Sephora that s going to be a pain in the a to get a refund I don t like ordering things like that directly from the source Otherwise I would have tried to convince her to use Et e Lauder Which is a phenomenal foundation
402,My Sephora cart is 329 this go round and I m not coming off shit so I guess 329 it is
403,I walked into Sephora today and none of the employees greeted me or asked if I needed help I made a u turn and went straight to Ulta
409,LMAOAOAOA this why I don t shop at Sephora
413,is it a thing for the Sephora employee to try on the makeup on themselves for you to see
415,ygs weren t kidding abt sephora ten year olds wtf one of them was staring at me and my friends too worst experience
418,I ve had that Sephora brush set for years It s my favorite by far All of these products are great you did good
420,oh damn ok maybe i should try this sephora thing
422,RT Guru Yes Kohls helps Sephora go into places it can t easily get into remember JC Penney But with sales profile at a time of
423,RT Guru Says volumes about prospects of Kohls amp department stores in general that KSS best comparable store sales in 14 years a
424,Perfume samples from Sephora gt gt
425,sephora hausofgaga I m inclusive of my daughter s and my nieces safety I will never shop at sephora again Regretting the 500 I spent in Dec on gifts
426,18 Sephora Sweet thing
439,i use fade good molecules discoloration serum brightening soap amp this vitamin c serum at sephora called green machine
441,not purchasing anything from them before they denounce sponsoring TrishaPaytas 0 tolerance for racism anti Blackness anti Semitism and transphobia
442,All I wanted was to try the glazed donut highlighter but noooo the website has to keep glitching so I can t buy it on sale Guess I ll just shop at
450,it s confusing as heck if u have an ulta or sephora might be good to ask there they may know more i just use moisturizers with spf and like primer
452,sephora is definitely a Rockstar of Metalwork Just look at that tight little blacksmithing area and silhouette miller 250 Bang bang
453,This is why Sephora should sell Dominatrix bull whips so shop managers can give free samples Store owners should be able to keep all shoplifters they can catch
455,SEPHORA FAVORITES Holy Grail Skincare set 2018 HGZNQGK
458,RT Selena Gomez talks about what she sees when she looks in the mirror via Sephora Italy I see someone who has survived
460,Sephora Hype is real iykyk I wasn t familiar with your game
462,RT i just need a shopping spree Sephora and Lululemon needs to see me asap
465,need a trip to Sephora
466,Absolutely I don t really care what they think and fine I ll go to Sephora and treat myself When life hands you 200 and tells you you re ugly reply And you seem like kind of an arse but thanks for the tip and have fun
467,Depressed Bought perfume at Sephora Maybe smelling good will help me
472,RT I think that s a stupid rule and it makes people uncomfortable Ex Sephora worker says they were forced to follow custome
477,RT Out of 186 shops at the Westfield Mall there are 75 closed shops Guess Finishline and Sephora were added to the closu
478,Went to four Sephora s trying to find this shit and when I got the extra strength one it fuckin sucked so bad
480,RT Moshe Why do you have a Paid Partnerships with a racist white woman Trisha Paytas
493,Not ordering from Sephora until sale time
494,anyways next time i visit sephora best believe im using my gift card to purchase haus labs blush
495,I got my makeup amp my new curling irons shoutout to the girlies at Sephora
498,RT Sephora 1 not accommodating to those who have walkers 2 not being accountable on their word saying can use the credi
499,RT Sephora 3 not having the in store pick up amp saying to go in regular line when already paid for my items 3 different
500,RT Ombudsman You guys messed up 3 different occasions and then saying u owe me n
502,Ombudsman You guys messed up 3 different occasions and then saying u owe me nothing further Nope u owe me credit for 2nd amp 3rd amp 4th bad client experience from you your company Sephora Ombudsman mandate to be inclusive isnt followed here 2b accountable amp not lie to clients
505,RT Ombudsman Sephora trying to claim my 3 different bad experiences from their i
506,RT you should be accommodating especially when someone has a walker Your employee is uneducated about your com
